Packet 239: delay_time=260ms, response=PSTART 27-02-2023 20:10:53 PSTOP
Packet 240: delay_time=245ms, response=PSTART 27-02-2023 20:10:53 PSTOP
Packet 241: delay_time=239ms, response=PSTART 27-02-2023 20:10:53 PSTOP
Packet 242: delay_time=245ms, response=PSTART 27-02-2023 20:10:54 PSTOP
Packet 243: delay_time=264ms, response=PSTART 27-02-2023 20:10:54 PSTOP
Packet 244: delay_time=240ms, response=PSTART 27-02-2023 20:10:54 PSTOP
Packet 245: delay_time=251ms, response=PSTART 27-02-2023 20:10:54 PSTOP
Packet 246: delay_time=248ms, response=PSTART 27-02-2023 20:10:55 PSTOP
Packet 247: delay_time=247ms, response=PSTART 27-02-2023 20:10:55 PSTOP
Packet 248: delay_time=237ms, response=PSTART 27-02-2023 20:10:55 PSTOP
Packet 249: delay_time=255ms, response=PSTART 27-02-2023 20:10:55 PSTOP
Packet 250: delay_time=234ms, response=PSTART 27-02-2023 20:10:56 PSTOP
Packet 251: delay_time=258ms, response=PSTART 27-02-2023 20:10:56 PSTOP
Packet 252: delay_time=252ms, response=PSTART 27-02-2023 20:10:56 PSTOP
Packet 253: delay_time=245ms, response=PSTART 27-02-2023 20:10:56 PSTOP
Packet 254: delay_time=245ms, response=PSTART 27-02-2023 20:10:57 PSTOP
Packet 255: delay_time=269ms, response=PSTART 27-02-2023 20:10:57 PSTOP
Packet 256: delay_time=253ms, response=PSTART 27-02-2023 20:10:57 PSTOP
Packet 257: delay_time=245ms, response=PSTART 27-02-2023 20:10:57 PSTOP
Packet 258: delay_time=234ms, response=PSTART 27-02-2023 20:10:58 PSTOP
Packet 259: delay_time=266ms, response=PSTART 27-02-2023 20:10:58 PSTOP
Packet 260: delay_time=252ms, response=PSTART 27-02-2023 20:10:58 PSTOP
Packet 261: delay_time=241ms, response=PSTART 27-02-2023 20:10:58 PSTOP
Packet 262: delay_time=250ms, response=PSTART 27-02-2023 20:10:59 PSTOP
